index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,42.22727224,0.555712906
0,CC1C2CCC3C4C(C)C4C3C12,162.27600000000015,341.744,243.93,474.336,740.366,20.545,560.48,1.047,108.685,-178.449,53.823,12.398,0.155,6744.141,41.56,336.277,CC1C2CCC3C4C(C)C4C3C12 at 298K,,
1,CC1CC(C2CC34C(C)C3C24)C1,162.27600000000015,297.56,257.206,444.522,727.58,18.5671,571.21,1.054,111.858,-152.237,54.204,10.659,0.154,6770.353,41.721,336.928,CC1CC(C2CC34C(C)C3C24)C1 at 298K,,
2,CC(C)(C)CC1CCC2CC2C1,166.3080000000002,331.594,234.862,475.416,696.191,21.7255,606.96,0.866,89.721,-233.304,53.416,11.274,0.192,7172.946,43.13,338.09,CC(C)(C)CC1CCC2CC2C1 at 298K,,
3,CCC1C2CCC3(CC4CC4)C1C23,176.30300000000017,331.72,224.908,478.531,735.546,18.2991,627.15,1.049,138.928,-154.162,60.866,14.237,0.168,7405.768,42.006,337.546,CCC1C2CCC3(CC4CC4)C1C23 at 298K,,
4,CC(C)C(C)CC1CCC23CC2C13,178.3190000000002,310.258,232.809,467.172,714.694,18.1905,656.74,0.954,113.096,-199.759,58.656,10.736,0.187,7602.001,42.631,337.965,CC(C)C(C)CC1CCC23CC2C13 at 298K,,
5,CCC1C2CCCC3(C)C1C23C,164.29200000000017,297.735,252.129,454.868,687.476,20.071,619.38,0.933,78.646,-194.483,51.06,7.13,0.176,6969.937,42.424,337.484,CCC1C2CCCC3(C)C1C23C at 298K,,
6,CC1CC2(C)CC34CC1C23C4C,162.27600000000015,234.397,258.397,411.963,674.719,18.9555,605.49,1.034,100.625,-137.168,50.448,6.024,0.157,6785.422,41.814,337.303,CC1CC2(C)CC34CC1C23C4C at 298K,,
7,CC1C2CCC3(C)C4C(C)C23C14,162.27600000000015,278.066,258.623,440.172,707.851,19.7524,594,1.027,97.452,-160.431,50.565,7.763,0.158,6762.159,41.671,336.726,CC1C2CCC3(C)C4C(C)C23C14 at 298K,,
8,CC1CC(C)C23C(CC2(C)C)C13,164.29200000000017,288.973,251.071,447.521,677.848,19.8226,612.91,0.913,70.023,-204.459,49.95,6.225,0.18,6959.961,42.363,337.241,CC1CC(C)C23C(CC2(C)C)C13 at 298K,,
9,CC12CCC(C3CCC3)C13CC23,162.27600000000015,280.046,272.007,441.96,721.063,20.2151,581.75,1.054,127.922,-127.696,53.888,6.757,0.154,6794.894,41.872,337.537,CC12CCC(C3CCC3)C13CC23 at 298K,,
10,CCC1(C)CCCC2C(C)CC21,166.3080000000002,327.735,235.052,486.008,686.068,21.9903,607.12,0.866,82.298,-230.09,53.424,10.133,0.192,7176.16,43.15,338.168,CCC1(C)CCCC2C(C)CC21 at 298K,,
11,CCC1CCCCCCC1C,154.2970000000002,334.713,225.004,484.178,655.786,25.5595,559.83,0.804,63.27,-239.721,50.661,11.661,0.192,6771.019,43.883,338.912,CCC1CCCCCCC1C at 298K,,
12,CCC12CC34C1C3(C)C1CC14C2C,174.28700000000015,226.079,267.707,418.792,708.747,16.8622,656.75,1.147,130.617,-112.793,54.437,7.06,0.152,7205.307,41.342,337.007,CCC12CC34C1C3(C)C1CC14C2C at 298K,,
13,CCC1C2(C)CC3(CC4CC4)CC132,176.30300000000017,263.107,235.665,439.496,694.295,17.1555,659.9,1.037,127.695,-133.196,58.106,9.601,0.17,7426.734,42.125,338.024,CCC1C2(C)CC3(CC4CC4)CC132 at 298K,,
14,CC1CC1C1C2CC3(C)C4CC4C213,174.28700000000015,289.71,276.718,446.841,747.067,16.987,621.69,1.139,131.785,-134.966,56.783,8.643,0.153,7183.134,41.214,336.484,CC1CC1C1C2CC3(C)C4CC4C213 at 298K,,
15,CCCC1CC(C)C(C)CC2CC12,180.3350000000002,355.897,239.818,506.869,705.406,19.4584,656.37,0.867,75.256,-267.831,58.318,16.205,0.208,7775.759,43.118,337.878,CCCC1CC(C)C(C)CC2CC12 at 298K,,
16,CCC1(CC)CCC(C)C2CCC21,180.3350000000002,337.427,229.996,507.287,701.496,20.0174,653.53,0.888,101.608,-242.677,59.178,14.188,0.203,7800.913,43.258,338.426,CCC1(CC)CCC(C)C2CCC21 at 298K,,
17,CCCC12C3CC14CCC(C4)C32C,176.30300000000017,261.732,259.789,453.429,706.994,18.2836,660.38,1.043,131.705,-143.729,57.416,9.571,0.169,7416.201,42.065,337.783,CCCC12C3CC14CCC(C4)C32C at 298K,,
18,CCCC1C2CC23C(C)CCC13C,178.3190000000002,294.218,254.534,467.927,691.307,18.1135,672.71,0.934,89.111,-207.605,56.435,11.447,0.191,7594.155,42.587,337.79,CCCC1C2CC23C(C)CCC13C at 298K,,
19,CC1(C)CC1C12CC13CCC2C3,162.27600000000015,258.422,261.53,424.679,684.534,20.306,603.01,1.021,113.517,-129.993,51.624,3.861,0.159,6792.597,41.858,337.481,CC1(C)CC1C12CC13CCC2C3 at 298K,,
20,CC12CC3C4CC1C4C1CCC312,160.26000000000013,286.248,263.909,438.798,734.487,20.4895,571.84,1.161,137.774,-106.279,52.854,7.138,0.138,6574.481,41.024,336.438,CC12CC3C4CC1C4C1CCC312 at 298K,,
21,CC1CC1C1C2C(C)C3CCC2C31,176.30300000000017,356.325,269.058,493.5,763.068,18.7274,606.12,1.037,117.93,-198.14,58.167,13.401,0.17,7361.79,41.756,336.54,CC1CC1C1C2C(C)C3CCC2C31 at 298K,,
22,CC1CCC2C1CC(C)C1CC12,164.29200000000017,340.992,245.028,486.496,719.917,22.239,571.92,0.95,98.832,-205.763,53.86,12.018,0.173,6958.657,42.355,337.209,CC1CCC2C1CC(C)C1CC12 at 298K,,
23,CC1CC2C3CC34C(C12C)C4(C)C,176.30300000000017,281.123,271.377,449.812,703.063,18.0828,663.4,0.985,89.95,-187.188,52.529,4.209,0.179,7372.742,41.819,336.794,CC1CC2C3CC34C(C12C)C4(C)C at 298K,,
24,CC1CCC2C1C1CCC2(C)C1,164.29200000000017,317.295,255.295,476.491,706.722,22.5986,587.44,0.944,99.662,-193.167,52.629,8.618,0.174,6971.253,42.432,337.516,CC1CCC2C1C1CCC2(C)C1 at 298K,,
25,CC1CCC2CCC3CC3(C1)C2,164.29200000000017,308.442,256.298,476.491,703.834,23.6856,579.2,0.955,117.238,-173.505,54.158,9.775,0.172,6990.915,42.552,337.993,CC1CCC2CCC3CC3(C1)C2 at 298K,,
26,CC12CC1C1CCC3CCC1CC32,176.30300000000017,339.325,271.507,495.932,745.53,21.7054,617.43,1.031,133.993,-176.548,57.352,9.498,0.171,7383.382,41.879,337.036,CC12CC1C1CCC3CCC1CC32 at 298K,,
27,CCC12CCC1C1(CC1)C1CC12,162.27600000000015,280.093,248.424,451.148,714.177,20.8641,583.29,1.075,137.987,-123.54,54.799,9.809,0.151,6799.05,41.898,337.642,CCC12CCC1C1(CC1)C1CC12 at 298K,,
28,CCCC12CC1C(C)C(C)CC2C,180.3350000000002,310.293,233.626,491.199,682.65,18.4245,665.44,0.875,77.529,-255.157,57.508,14.954,0.206,7788.433,43.189,338.156,CCCC12CC1C(C)C(C)CC2C at 298K,,
29,CC(C)C1C2CC3C4CC2C4C31,162.27600000000015,360.634,251.181,475.055,749.92,20.2332,567.97,1.111,112.944,-173.6,54.582,15.037,0.146,6748.99,41.59,336.399,CC(C)C1C2CC3C4CC2C4C31 at 298K,,
30,CC1(C)CCC2CC34CCC2C3C14,176.30300000000017,309.445,275.051,478.527,728.444,20.4895,637.92,1.019,119.589,-175.896,55.208,6.602,0.173,7384.034,41.883,337.052,CC1(C)CCC2CC34CCC2C3C14 at 298K,,
31,CC1CCC2C3CC1C(C3)C2C,164.29200000000017,350.864,255.893,495.497,733.217,23.6856,573.45,0.944,98.831,-211.661,52.863,12.018,0.174,6952.759,42.32,337.07,CC1CCC2C3CC1C(C3)C2C at 298K,,
32,CC1CCC2C(C)C(C1)CC1CC12,178.3190000000002,361.024,262.735,513.198,738.385,22.1556,619.09,0.939,108.076,-231.352,57.207,13.02,0.19,7570.408,42.454,337.262,CC1CCC2C(C)C(C1)CC1CC12 at 298K,,
33,CC1C2CCC3C4CCCC4(C)C132,176.30300000000017,294.409,270.73,470.486,719.933,19.9285,634.66,1.025,121.931,-168.178,55.823,8.262,0.172,7391.752,41.926,337.225,CC1C2CCC3C4CCCC4(C)C132 at 298K,,
34,CC(C)CC1C2C3CC4CC3CC412,176.30300000000017,321.224,245.673,467.808,734.569,18.3773,639.18,1.031,122.438,-176.594,57.92,12.528,0.171,7383.336,41.879,337.036,CC(C)CC1C2C3CC4CC3CC412 at 298K,,
35,CC1CC1CC1(C)CC(C)C2CC21,178.3190000000002,331.061,223.643,484.151,709.098,18.663,640.36,0.929,102.875,-211.115,58.265,11.794,0.192,7590.645,42.568,337.715,CC1CC1CC1(C)CC(C)C2CC21 at 298K,,
36,CCC1CC2(C)CC1C2CC(C)C,180.3350000000002,342.583,244.058,491.291,703.364,19.0711,688.25,0.855,63.308,-270.695,55.128,12.52,0.211,7772.895,43.103,337.819,CCC1CC2(C)CC1C2CC(C)C at 298K,,
37,CC12CCCCC3CC3(CC1)C2,164.29200000000017,284.745,265.815,466.058,689.368,24.0811,594.72,0.95,118.068,-160.909,52.927,6.376,0.173,7003.511,42.628,338.294,CC12CCCCC3CC3(CC1)C2 at 298K,,
38,CCC1(C)CC2CC(C)C1C1CC21,178.3190000000002,340.776,255.227,502.903,729.842,20.2514,642.86,0.949,101.395,-228.364,56.357,11.516,0.188,7573.396,42.471,337.33,CCC1(C)CC2CC(C)C1C1CC21 at 298K,,
