index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,337.5572415,0.533418152
0,CCC1CC2C3C4CCC5C4C2C153,174.28700000000015,340.296,264.367,478.651,763.402,18.9719,614.93,1.147,139.577,-146.433,58.006,12.947,0.152,7171.667,41.149,336.219,CCC1CC2C3C4CCC5C4C2C153 at 298K,,
1,CC1CC2CC34CC3C(C)(C)C24C1,176.30300000000017,272.27,272.274,449.812,700.116,18.8572,655.16,0.996,107.527,-167.526,54.057,5.366,0.177,7392.404,41.93,337.241,CC1CC2CC34CC3C(C)(C)C24C1 at 298K,,
2,CCCC1CCC2CC3CCC12C3,178.3190000000002,330.281,256.406,493.627,718.265,20.5265,647.23,0.949,118.75,-196.313,59.492,13.841,0.188,7605.447,42.651,338.044,CCCC1CCC2CC3CCC12C3 at 298K,,
3,CCCC1C2CC23CCCC13CC,178.3190000000002,294.997,243.338,474.543,699.18,18.3304,667.74,0.964,114.411,-185.608,59.257,13.997,0.185,7616.152,42.711,338.282,CCCC1C2CC23CCCC13CC at 298K,,
4,CC1CCC2C(C)C2C(C)CC1C,180.3350000000002,342.971,246.658,505.886,697.371,20.0889,639.72,0.863,67.755,-279.607,55.915,13.645,0.209,7763.983,43.053,337.623,CC1CCC2C(C)C2C(C)CC1C at 298K,,
5,CC1CC2CC3(CCCC3C1)C2C,178.3190000000002,327.227,272.175,501.372,724.75,22.5559,632.11,0.939,111.248,-213.987,56.093,11.281,0.19,7587.773,42.552,337.652,CC1CC2CC3(CCCC3C1)C2C at 298K,,
6,CC1CC2C3C4CC2(C)C13C1CC41,174.28700000000015,300.096,274.483,462.588,746.442,19.0214,623.99,1.124,131.784,-143.812,55.288,8.643,0.155,7174.288,41.164,336.28,CC1CC2C3C4CC2(C)C13C1CC41 at 298K,,
7,CCCC12CCCCC13CCC2C3,178.3190000000002,290.861,256.853,484.886,703.889,20.8452,651.32,0.964,136.256,-171.696,59.597,12.086,0.185,7630.064,42.789,338.591,CCCC12CCCCC13CCC2C3 at 298K,,
8,CCC1CC2CCCCC2C1(C)C,180.3350000000002,358.554,258.134,507.726,701.657,21.2492,664.96,0.851,74.865,-264.752,55.936,9.49,0.212,7778.838,43.135,337.945,CCC1CC2CCCCC2C1(C)C at 298K,,
9,CCC1CCC2CC2C2CCCC12,178.3190000000002,372.591,256.416,513.797,739.237,21.7659,624.78,0.954,116.699,-218.427,59.193,13.925,0.187,7583.333,42.527,337.552,CCC1CCC2CC2C2CCCC12 at 298K,,
10,CC1C2C(C3C4CCC13C4)C2(C)C,176.30300000000017,311.004,267.741,469.301,722.578,19.0877,642.9,0.996,104.354,-187.84,54.673,7.105,0.177,7372.09,41.815,336.778,CC1C2C(C3C4CCC13C4)C2(C)C at 298K,,
11,CC1CC2CC3CCCCC2(C)C13,178.3190000000002,332.391,267.087,499.946,719.73,21.8268,633.84,0.939,108.906,-215.807,56.475,9.621,0.19,7585.953,42.541,337.608,CC1CC2CC3CCCCC2(C)C13 at 298K,,
12,CC1CCCC2CC1(C)C1CC21C,178.3190000000002,302.511,270.741,482.835,699.889,20.6008,654.34,0.929,94.501,-215.155,54.331,6.724,0.192,7586.605,42.545,337.624,CC1CCCC2CC1(C)C1CC21C at 298K,,
13,CC(C)C12CC3(CC4(C)C3C41)C2C,176.30300000000017,254.252,270.09,435.678,701.173,17.8253,667.73,1.013,99.097,-177.587,52.488,6.725,0.174,7382.343,41.873,337.011,CC(C)C12CC3(CC4(C)C3C41)C2C at 298K,,
14,CCC12CCC(C1)C1(C)CC2(C)C1,178.3190000000002,273.41,264.597,471.145,686.088,19.7175,669.86,0.943,105.397,-192.505,55.009,6.378,0.189,7609.255,42.672,338.127,CCC12CCC(C1)C1(C)CC2(C)C1 at 298K,,
15,CCC1CC2CC3C4CCC4(C)C123,176.30300000000017,304.729,264.162,467.905,721.719,18.8084,646.1,1.031,115.32,-170.146,56.397,9.67,0.171,7389.784,41.915,337.18,CCC1CC2CC3C4CCC4(C)C123 at 298K,,
16,CCC1C(C)CC2CCC(C)C21,166.3080000000002,344.378,231.498,488.292,691.975,21.0361,599.78,0.871,67.134,-246.99,53.557,13.547,0.191,7159.26,43.048,337.768,CCC1C(C)CC2CCC(C)C21 at 298K,,
17,CCC1C2CCCC1C1(C)CC1C2,178.3190000000002,347.647,265.332,502.001,728.231,21.1713,646.05,0.939,102.294,-220.724,56.551,11.028,0.19,7581.036,42.514,337.501,CCC1C2CCCC1C1(C)CC1C2 at 298K,,
18,CCC1C(C)CC23CC24CC1(C)C34,176.30300000000017,259.813,263.344,439.18,692.231,17.3697,663.34,1.025,103.258,-161.776,54.868,8.434,0.172,7398.154,41.963,337.373,CCC1C(C)CC23CC24CC1(C)C34 at 298K,,
19,CCC1CCC2(C)C3C(CC)C2C13,178.3190000000002,356.719,257.881,496.805,730.739,19.1376,663.23,0.934,80.448,-237.585,55.713,12.939,0.191,7564.175,42.419,337.123,CCC1CCC2(C)C3C(CC)C2C13 at 298K,,
20,CCC12C(C)CC(C)C1C(C)C2C,180.3350000000002,307.687,232.624,487.77,675.817,17.961,660.22,0.875,63.417,-268.901,55.68,13.801,0.206,7774.689,43.112,337.855,CCC12C(C)CC(C)C1C(C)C2C at 298K,,
21,CCC12CCCC(CCC1(C)C)C2,180.3350000000002,319.133,258.575,499.483,685.843,21.5849,669.05,0.863,92.372,-240.134,56.04,7.736,0.209,7803.456,43.272,338.481,CCC12CCCC(CCC1(C)C)C2 at 298K,,
22,CCC1CC2CCC3CC23C1(C)C,178.3190000000002,320.572,262.007,479.245,701.881,19.4243,665.78,0.919,87.89,-217.123,55.284,8.132,0.194,7584.637,42.534,337.58,CCC1CC2CCC3CC23C1(C)C at 298K,,
23,CC1C2CCCC3C(C)C3C1CC2,178.3190000000002,361.024,262.735,513.198,738.385,22.1556,619.09,0.939,108.076,-231.352,57.207,13.02,0.19,7570.408,42.454,337.262,CC1C2CCCC3C(C)C3C1CC2 at 298K,,
24,CCC1CC2C(C)C23C(C)C(C)C13,178.3190000000002,315.309,243.28,474.666,699.619,17.413,651.98,0.939,74.169,-233.946,55.837,13.695,0.19,7567.814,42.44,337.207,CCC1CC2C(C)C23C(C)C(C)C13 at 298K,,
25,CCC1(C)C2CC3CC(C)(C3)CC21,178.3190000000002,319.885,257.576,487.967,710.239,19.964,657.61,0.934,102.225,-212.819,56.003,8.117,0.191,7588.941,42.558,337.675,CCC1(C)C2CC3CC(C)(C3)CC21 at 298K,,
26,CC1CCC2C(C)C3(C)CC23CC1,178.3190000000002,287.475,266.285,474.936,689.889,20.0352,651.08,0.934,96.844,-207.437,54.946,8.384,0.191,7594.323,42.588,337.794,CC1CCC2C(C)C3(C)CC23CC1 at 298K,,
27,CCC1C2CC3CC4CC3C41C2C,176.30300000000017,338.298,264.724,487.564,746.249,19.6306,632.11,1.025,114.489,-188.64,56.63,13.069,0.172,7371.29,41.81,336.758,CCC1C2CC3CC4CC3C41C2C at 298K,,
28,CCCC12CCCCCC13CC2C3,178.3190000000002,290.861,256.853,484.886,703.889,20.8452,651.32,0.964,136.256,-171.696,59.597,12.086,0.185,7630.064,42.789,338.591,CCCC12CCCCCC13CC2C3 at 298K,,
29,CC1(C)CCC2CC3(C)CC1C23C,178.3190000000002,295.408,276.561,471.501,688.291,20.0174,678.1,0.901,77.754,-222.22,51.951,2.168,0.198,7579.54,42.506,337.469,CC1(C)CCC2CC3(C)CC1C23C at 298K,,
