index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,250.7287416,15.32345808
0,CC1CC2CCC2CCC1(C)C,166.3080000000002,333.138,253.002,487.448,685.072,23.4122,607.12,0.844,72.232,-240.144,51.516,7.08,0.197,7166.106,43.089,337.929,CC1CC2CCC2CCC1(C)C at 298K,,
1,CC1C2C(CC23CCC3)C1(C)C,164.29200000000017,295.156,257.014,456.34,685.318,21.3079,607.94,0.918,85.257,-192.515,50.864,5.722,0.179,6971.905,42.436,337.531,CC1C2C(CC23CCC3)C1(C)C at 298K,,
2,CCC1CCC2(C)C(C)CC2C1,166.3080000000002,320.68,242.741,478.361,676.49,21.3668,615.29,0.866,67.963,-234.394,52.327,10.148,0.192,7171.856,43.124,338.066,CCC1CCC2(C)C(C)CC2C1 at 298K,,
3,CC12CC3CC4C5CC1C42CC35,160.26000000000013,286.248,263.909,438.798,734.487,20.4895,571.84,1.161,137.774,-106.279,52.854,7.138,0.138,6574.481,41.024,336.438,CC12CC3CC4C5CC1C42CC35 at 298K,,
4,CCC12C3C1C1(CCC3(C)C)CC12,176.30300000000017,281.903,261.465,456.929,710.453,18.2991,658.43,1.019,115.25,-165.19,55.351,6.759,0.173,7394.74,41.943,337.293,CCC12C3C1C1(CCC3(C)C)CC12 at 298K,,
5,CC1CCC2CC1CCC21CC1,164.29200000000017,308.442,256.298,476.491,703.834,23.6856,579.2,0.955,117.238,-173.505,54.158,9.775,0.172,6990.915,42.552,337.993,CC1CCC2CC1CCC21CC1 at 298K,,
6,CC1CC2CCC13CC1C2CC13,162.27600000000015,314.129,260.443,468.788,732.615,22.5132,568.53,1.047,127.091,-149.139,53.623,10.156,0.155,6773.451,41.74,337.005,CC1CC2CCC13CC1C2CC13 at 298K,,
7,CCC12CCCC34CC1CC3CC24,176.30300000000017,295.188,260.77,477.034,726.68,20.1789,629.69,1.062,147.231,-146.181,58.645,10.812,0.166,7413.749,42.051,337.727,CCC12CCCC34CC1CC3CC24 at 298K,,
8,CC1C2CC(C2)C2C1CC2(C)C,164.29200000000017,338.826,257.242,480.087,716.726,22.2599,596.45,0.913,82.084,-215.778,50.981,7.461,0.18,6948.642,42.294,336.966,CC1C2CC(C2)C2C1CC2(C)C at 298K,,
9,CCC12CC1CC1(C)C(C)(C)C21C,178.3190000000002,260.124,265.273,450.529,665.56,17.9005,698.6,0.91,73.415,-211.515,51.716,2.325,0.196,7590.245,42.566,337.707,CCC12CC1CC1(C)C(C)(C)C21C at 298K,,
10,CCC1CCC1C(C)C1(C)CC1,166.3080000000002,328.986,230.152,464.603,671.486,19.8226,618.88,0.894,76.086,-216.414,54.876,12.632,0.186,7189.836,43.232,338.489,CCC1CCC1C(C)C1(C)CC1 at 298K,,
11,CC1C2CC3(C4CC4)CCC3(C)C12,176.30300000000017,289.473,265.932,465.542,712.9,19.3563,633.9,1.031,121.932,-165.23,56.321,8.262,0.171,7394.7,41.943,337.293,CC1C2CC3(C4CC4)CCC3(C)C12 at 298K,,
12,CCC1C2CCC(C)C1CC2C,166.3080000000002,349.314,237.569,492.801,699.848,21.6852,600.54,0.866,67.133,-249.939,53.059,13.547,0.192,7156.311,43.03,337.698,CCC1C2CCC(C)C1CC2C at 298K,,
13,CC1C2CCC3C1CCC3(C)C2,164.29200000000017,322.231,260.455,481.22,713.994,23.3222,588.2,0.939,99.661,-196.116,52.131,8.618,0.175,6968.304,42.414,337.444,CC1C2CCC3C1CCC3(C)C2 at 298K,,
14,CCC12CCC13C1CCCCC1C23,176.30300000000017,295.188,260.77,477.034,726.68,20.1789,629.69,1.062,147.231,-146.181,58.645,10.812,0.166,7413.749,42.051,337.727,CCC12CCC13C1CCCCC1C23 at 298K,,
15,CCC1C2C(C3CCC3)CCC12C,178.3190000000002,337.26,267.712,488.664,728.921,18.7922,643.75,0.949,102.296,-211.877,58.046,11.028,0.188,7589.883,42.564,337.699,CCC1C2C(C3CCC3)CCC12C at 298K,,
16,CC12CC3CCC1CC1(C)C3C21,162.27600000000015,294.349,263.92,452.808,716.066,21.1908,591.52,1.027,110.344,-153.256,51.363,5.6,0.158,6769.334,41.715,336.904,CC12CC3CCC1CC1(C)C3C21 at 298K,,
17,CCC1C2C3CC4C2C4(C3)C1C,162.27600000000015,313.33,241.611,452.512,721.904,19.1376,584.18,1.054,105.246,-160.102,53.782,12.067,0.154,6762.488,41.673,336.734,CCC1C2C3CC4C2C4(C3)C1C at 298K,,
18,CCC1(CC)C2CC3C(CC31)C2C,178.3190000000002,338.178,228.776,496.141,723.997,18.5671,642.1,0.964,111.461,-215.362,59.142,14.569,0.185,7586.398,42.544,337.62,CCC1(CC)C2CC3C(CC31)C2C at 298K,,
19,CCC12CC1C1C(C)C2CC2CC21,176.30300000000017,332.675,255.215,491.55,746.978,19.596,623.18,1.049,128.824,-181.388,57.848,13.054,0.168,7378.542,41.851,336.923,CCC12CC1C1C(C)C2CC2CC21 at 298K,,
20,CC1C(C)C23C4CC4(C)CC24CC143,174.28700000000015,211.511,273.519,404.114,690.368,16.8898,652.71,1.124,122.895,-112.18,53.642,5.668,0.155,7205.92,41.345,337.019,CC1C(C)C23C4CC4(C)CC24CC143 at 298K,,
21,CC(CCC1CCC1)CC1CC1,166.3080000000002,329.686,192.927,471.017,689.59,20.6381,615.42,0.866,105.165,-197.904,58.766,15.172,0.192,7208.346,43.343,338.924,CC(CCC1CCC1)CC1CC1 at 298K,,
22,CCC1C2CC3C(C4CC14)C3(C)C2,176.30300000000017,348.398,264.379,490.605,747.812,19.596,634.61,1.025,112.147,-193.409,56.514,11.409,0.172,7366.521,41.783,336.649,CCC1C2CC3C(C4CC14)C3(C)C2 at 298K,,
23,CCC1C2CC3CC1(C)C3(C)C2C,178.3190000000002,311.583,263.573,477.211,702.817,18.647,671.52,0.924,72.656,-232.016,53.493,8.635,0.193,7569.744,42.451,337.251,CCC1C2CC3CC1(C)C3(C)C2C at 298K,,
24,CCC1C2CC2C1C12CC1C2CC,176.30300000000017,333.81,241.488,470.924,729.113,17.0569,641.26,1.043,107.88,-181.761,58.7,14.477,0.169,7378.169,41.849,336.915,CCC1C2CC2C1C12CC1C2CC at 298K,,
25,CC1C2CCCC3C(C)C1C23C,164.29200000000017,311.112,249.279,468.381,700.098,20.9785,592.42,0.939,84.428,-205.111,51.716,9.121,0.175,6959.309,42.359,337.225,CC1C2CCCC3C(C)C1C23C at 298K,,
26,CC12CCC1C1CCCC(C1)C2,164.29200000000017,323.478,261.069,484.34,713.114,24.4144,582.46,0.95,114.896,-181.223,53.543,8.115,0.173,6983.197,42.505,337.806,CC12CCC1C1CCCC(C1)C2 at 298K,,
27,CCC1C23CC(CC4CC4)C12C3,162.27600000000015,278.579,221.538,420.882,692.551,18.1751,601.17,1.047,118.521,-115.511,55.685,11.51,0.155,6807.079,41.948,337.843,CCC1C23CC(CC4CC4)C12C3 at 298K,,
28,CCC1C2CCC3CC(C2)CC31,164.29200000000017,362.431,249.259,496.141,734.092,23.255,579.15,0.955,107.454,-198.736,54.849,12.922,0.172,6965.684,42.398,337.38,CCC1C2CCC3CC(C2)CC31 at 298K,,
29,CCC1CC1CC1CC2CC13CC23,176.30300000000017,332.408,230.449,469.459,728.297,17.8253,635.32,1.031,124.593,-158.465,60.146,14.252,0.171,7401.465,41.982,337.45,CCC1CC1CC1CC2CC13CC23 at 298K,,
30,CCC12CC1CC1CCC2CC1,164.29200000000017,318.074,244.161,482.882,713.968,22.9014,582.47,0.978,124.962,-171.169,55.451,11.168,0.168,6993.251,42.566,338.048,CCC12CC1CC1CCC2CC1 at 298K,,
31,CCC1CCC2C3C4C2(C)C134,148.24900000000014,279.473,244.736,416.888,702.761,20.6755,554.06,1.059,96.831,-127.815,48.207,7.665,0.14,6157.435,41.534,336.803,CCC1CCC2C3C4C2(C)C134 at 298K,,
32,CCC12C3CCC1C(C)(C)CCC32,178.3190000000002,319.885,257.576,487.967,710.239,19.964,657.61,0.934,102.225,-212.819,56.003,8.117,0.191,7588.941,42.558,337.675,CCC12C3CCC1C(C)(C)CCC32 at 298K,,
33,CCC1CCCC2(C)CC23CC13,164.29200000000017,288.882,253.154,454.868,684.263,20.9785,611.13,0.95,96.222,-174.821,52.588,8.287,0.173,6989.599,42.544,337.961,CCC1CCCC2(C)CC23CC13 at 298K,,
34,CCC1CC2(CC)C(C)C2C1CC,180.3350000000002,334.509,222.429,490.588,687.706,17.198,678.12,0.884,65.428,-260.892,57.741,16.114,0.204,7782.698,43.157,338.031,CCC1CC2(CC)C(C)C2C1CC at 298K,,
35,CCC12CC1CC1(CC1)C2(C)C,164.29200000000017,266.055,250.24,443.276,670.316,20.3791,623.46,0.939,96.152,-169.865,51.542,5.375,0.175,6994.555,42.574,338.08,CCC12CC1CC1(CC1)C2(C)C at 298K,,
36,CC1CC2C3CCC(C4CCC43)C12,176.30300000000017,363.022,262.372,505.187,756.261,21.3668,601.91,1.037,133.164,-189.145,58.582,12.898,0.17,7370.785,41.807,336.746,CC1CC2C3CCC(C4CCC43)C12 at 298K,,
37,CCC12CC3CC3C1(C(C)C)C2,164.29200000000017,272.982,237.566,444.534,686.435,19.7349,614.77,0.966,102.128,-177.629,52.615,9.63,0.17,6986.791,42.527,337.893,CCC12CC3CC3C1(C(C)C)C2 at 298K,,
38,CCC1CC(C)(C)C2C(CC)C12,166.3080000000002,347.595,230.867,474.704,682.066,19.2717,634.98,0.849,43.775,-256.023,51.751,10.399,0.196,7150.227,42.994,337.556,CCC1CC(C)(C)C2C(CC)C12 at 298K,,
39,CC1CCC1CC1CC2CC1C2,164.29200000000017,344.974,219.141,477.991,713.856,21.3079,576.65,0.95,108.935,-181.486,56.379,13.2,0.173,6982.934,42.503,337.798,CC1CCC1CC1CC2CC1C2 at 298K,,
40,CC1CCC2CC3CC(C)C12C3,164.29200000000017,302.259,250.325,468.381,697.102,21.9492,584.18,0.95,102.004,-185.449,53.244,10.278,0.173,6978.971,42.479,337.702,CC1CCC2CC3CC(C)C12C3 at 298K,,
41,CC1CCC23CC1C2CC1CC13,162.27600000000015,314.129,260.443,468.788,732.615,22.5132,568.53,1.047,127.091,-149.139,53.623,10.156,0.155,6773.451,41.74,337.005,CC1CCC23CC1C2CC1CC13 at 298K,,
42,CCC12CC(CC1(C)C)CC21CC1,178.3190000000002,281.151,262.437,469.964,686.088,19.7175,669.86,0.934,105.397,-192.505,55.388,6.378,0.191,7609.255,42.672,338.127,CCC12CC(CC1(C)C)CC21CC1 at 298K,,
43,CCCC12CCC3CC4CC1C32C4,176.30300000000017,291.612,255.842,472.643,726.113,19.3055,639.88,1.056,146.109,-144.381,59.56,12.467,0.167,7415.549,42.061,337.767,CCCC12CCC3CC4CC1C32C4 at 298K,,
44,CCC1C2CCC(C(C)C)CC12,166.3080000000002,358.332,233.395,484.391,696.671,20.1069,606.5,0.919,71.393,-239.193,54.814,16.185,0.181,7167.057,43.095,337.953,CCC1C2CCC(C(C)C)CC12 at 298K,,
45,CC1CC2CC3CC4C2C(C)C134,162.27600000000015,312.882,259.826,465.461,733.405,21.545,574.27,1.034,111.856,-164.032,52.211,10.659,0.157,6758.558,41.649,336.637,CC1CC2CC3CC4C2C(C)C134 at 298K,,
46,CCC1C2CC13CCC3C1CC21,162.27600000000015,324.449,253.376,466.189,734.28,21.1713,579.97,1.054,120.48,-151.107,54.197,11.564,0.154,6771.483,41.728,336.956,CCC1C2CC13CCC3C1CC21 at 298K,,
47,CCC1C2CCC(C2)C1CC,152.28100000000018,345.785,214.547,469.333,686.413,22.052,559.83,0.875,66.512,-214.374,51.199,13.449,0.174,6554.536,43.042,337.94,CCC1C2CCC(C2)C1CC at 298K,,
48,CCC1CC2CC34CC(C3)C(C)C124,176.30300000000017,294.629,264.508,464.567,719.913,18.8409,643.6,1.031,117.662,-165.378,56.513,11.33,0.171,7394.552,41.942,337.289,CCC1CC2CC34CC(C3)C(C)C124 at 298K,,
49,CCC12CC1CC1C3C4CCC4C132,174.28700000000015,295.94,259.786,464.38,746.421,18.7113,618.25,1.17,157.084,-118.866,58.608,11.193,0.149,7199.234,41.307,336.864,CCC12CC1CC1C3C4CCC4C132 at 298K,,
50,CCC12CCC3CC1(C)C2C31CC1,176.30300000000017,265.308,264.586,458.175,707.624,19.0877,650.19,1.043,132.826,-145.529,56.501,7.916,0.169,7414.401,42.055,337.743,CCC12CCC3CC1(C)C2C31CC1 at 298K,,
51,CC1CCC2C3CC3C1C1C(C)C21,176.30300000000017,361.775,261.764,502.324,756.955,20.471,607.65,1.025,117.929,-204.038,57.17,13.401,0.172,7355.892,41.723,336.407,CC1CCC2C3CC3C1C1C(C)C21 at 298K,,
52,CCC1CCCC1CC1CCC1,166.3080000000002,354.542,211.031,487.594,692.078,21.7054,599.53,0.875,92.471,-210.769,56.989,14.227,0.19,7195.481,43.266,338.622,CCC1CCCC1CC1CCC1 at 298K,,
53,CCC12CC3CC(C)(C31)C1(C)CC21,176.30300000000017,274.161,263.639,458.175,710.453,18.2991,658.43,1.031,115.25,-165.19,54.973,6.759,0.171,7394.74,41.943,337.293,CCC12CC3CC(C)(C31)C1(C)CC21 at 298K,,
54,CCC1C2C3C4CC(C)(C)C4C1C23,176.30300000000017,360.057,256.122,484.943,744.143,18.2525,642.09,1.002,94.571,-210.122,55.863,10.252,0.176,7349.808,41.689,336.27,CCC1C2C3C4CC(C)(C)C4C1C23 at 298K,,
55,CCC1C2C3CC3(C)CC13CCC23,176.30300000000017,309.665,269.018,472.802,728.424,19.3563,646.87,1.025,115.319,-173.095,55.899,9.67,0.172,7386.835,41.899,337.116,CCC1C2C3CC3(C)CC13CCC23 at 298K,,
56,CC1(C)C2CC34CCCCC23C14C,176.30300000000017,248.573,280.818,438.147,685.338,19.1376,670.68,0.99,108.356,-154.93,52.827,1.967,0.178,7405,42.002,337.53,CC1(C)C2CC34CCCCC23C14C at 298K,,
57,CC1CCCC(C)(CC2CC2)C1,166.3080000000002,321.396,216.775,479.967,676.476,22.4071,600.42,0.862,99.012,-203.845,55.369,9.908,0.193,7202.405,43.308,338.787,CC1CCCC(C)(CC2CC2)C1 at 298K,,
58,CCC12CC3(C)C(C)C1C3(CC)C2,178.3190000000002,266.759,247.451,466.291,688.094,17.8854,675.62,0.964,100.228,-197.345,55.506,9.933,0.185,7604.415,42.645,338.02,CCC12CC3(C)C(C)C1C3(CC)C2 at 298K,,
59,CC12CCC13C1CCC4C1CC423,160.26000000000013,247.514,268.563,416.599,713.535,20.2332,584.1,1.17,140.946,-85.965,52.239,5.399,0.137,6594.795,41.151,336.959,CC12CCC13C1CCC4C1CC423 at 298K,,
60,CC1CCCC(CC2CC2)CC1,166.3080000000002,344.222,220.445,489.976,689.975,23.0993,588.09,0.871,99.082,-208.801,56.415,12.819,0.191,7197.449,43.278,338.669,CC1CCCC(CC2CC2)CC1 at 298K,,
