index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,0.956409962,0.07104929
0,CC1C2CC2C1C1C(C)C1(C)C,164.29200000000017,322.256,253.93,456.971,711.223,18.3773,599.13,0.923,66.852,-218.875,51.563,7.964,0.178,6945.545,42.276,336.895,CC1C2CC2C1C1C(C)C1(C)C at 298K,,
1,CC(C)CCCC1(C)CC2C3CC231,178.3190000000002,290.494,232.36,460.737,700.302,17.6764,683.33,0.929,110.271,-195.353,58.74,12.546,0.192,7606.407,42.656,338.064,CC(C)CCCC1(C)CC2C3CC231 at 298K,,
2,CC1CC2C3C1C(C1(C)CC1C)C23,176.30300000000017,329.765,253.117,474.838,728.232,18.2836,626.62,1.007,103.525,-197.488,56.402,10.505,0.175,7362.442,41.76,336.556,CC1CC2C3C1C(C1(C)CC1C)C23 at 298K,,
3,CC1CC2(C)C3C4C13C1CCCC142,174.28700000000015,256.427,274.282,436.983,720.136,18.268,635.48,1.132,134.956,-120.55,55.171,6.904,0.154,7197.55,41.297,336.823,CC1CC2(C)C3C4C13C1CCCC142 at 298K,,
4,CC1CC2C3CC(C3)C(C)(C)CC12,178.3190000000002,341.244,266.157,499.946,722.378,20.8641,642.08,0.929,91.329,-235.469,54.947,8.464,0.192,7566.291,42.431,337.171,CC1CC2C3CC(C3)C(C)(C)CC12 at 298K,,
5,CCC1C23CC(C)CC4CC2C13C4,176.30300000000017,294.629,264.508,464.567,719.913,18.8409,643.6,1.031,117.662,-165.378,56.513,11.33,0.171,7394.552,41.942,337.289,CCC1C23CC(C)CC4CC2C13C4 at 298K,,
6,CC1CC2CCC3CC(C1)C23,150.26500000000016,332.079,237.985,469.978,713.308,24.9026,520.54,0.963,104.822,-171.179,50.928,10.512,0.156,6355.901,42.298,337.387,CC1CC2CCC3CC(C1)C23 at 298K,,
7,CC1(C)CC2CCCC3CC31C2,164.29200000000017,301.339,262.721,464.852,692.493,22.9671,602.96,0.923,100.491,-180.571,51.777,5.219,0.178,6983.849,42.509,337.822,CC1(C)CC2CCCC3CC31C2 at 298K,,
8,CCC1CC(C)C2C1C1(C)C(C)C21,178.3190000000002,330.345,248.495,482.573,709.11,17.8703,655.24,0.934,71.827,-241.663,55.222,12.035,0.191,7560.097,42.396,337.032,CCC1CC(C)C2C1C1(C)C(C)C21 at 298K,,
9,CC1C2C3(C)C4CCC(C)C23C14C,176.30300000000017,258.346,269.036,442.08,693.241,17.6173,660.14,1.007,92.293,-179.47,52.766,5.869,0.175,7380.46,41.862,336.967,CC1C2C3(C)C4CCC(C)C23C14C at 298K,,
10,CC1CCC(C)C2(C)CCC1C2,166.3080000000002,310.361,250.337,480.834,674.197,22.7276,603.85,0.862,74.575,-232.426,51.753,8.74,0.193,7173.824,43.136,338.113,CC1CCC(C)C2(C)CCC1C2 at 298K,,
11,CC1CCC(C2C3CC3C2(C)C)C1,178.3190000000002,343.535,271.204,489.946,729.747,19.0711,640.55,0.919,91.33,-229.571,56.322,8.464,0.194,7572.189,42.464,337.302,CC1CCC(C2C3CC3C2(C)C)C1 at 298K,,
12,CC1CC2(C)CC1C(C)C1CC12,164.29200000000017,311.112,249.279,468.381,700.098,20.9785,592.42,0.939,84.428,-205.111,51.716,9.121,0.175,6959.309,42.359,337.225,CC1CC2(C)CC1C(C)C1CC12 at 298K,,
13,CC1CC(C2(C)CC2)C(C)C2CC12,178.3190000000002,329.013,254.148,486.974,706.282,19.7001,638.05,0.924,93.672,-224.803,56.438,10.124,0.193,7576.957,42.491,337.409,CC1CC(C2(C)CC2)C(C)C2CC12 at 298K,,
14,CC1C2CC(C2)CC2C(C)C12C,164.29200000000017,316.048,254.656,473.268,707.634,21.625,593.18,0.933,84.427,-208.06,51.218,9.121,0.176,6956.36,42.341,337.153,CC1C2CC(C2)CC2C(C)C12C at 298K,,
15,CC12CC3CC45CC4C1(C3)C52C,160.26000000000013,217.634,272.18,392.181,692.965,19.1376,604.6,1.145,126.542,-85.313,50.095,2.502,0.14,6595.447,41.155,336.975,CC12CC3CC45CC4C1(C3)C52C at 298K,,
16,CCCCC1C2CCC3(C)C1CC23,178.3190000000002,340.494,255.624,494.013,727.104,19.3563,666.43,0.934,100.051,-217.124,58.381,14.339,0.191,7584.636,42.534,337.58,CCCCC1C2CCC3(C)C1CC23 at 298K,,
17,CC(C)C1CCC1C12CC(C1)C2,164.29200000000017,311.277,246.511,459.071,693.875,20.3425,590.13,1.008,106.264,-174.703,55,12.916,0.163,6989.717,42.544,337.961,CC(C)C1CCC1C12CC(C1)C2 at 298K,,
18,CCCC1C2CC1C1(C2)CC1(C)C,178.3190000000002,321.932,262.218,479.654,708.721,19.1376,676.74,0.914,86.768,-218.272,55.7,9.787,0.195,7583.488,42.528,337.556,CCCC1C2CC1C1(C2)CC1(C)C at 298K,,
19,CC1(C)CC23C1CCCC2C3(C)C,178.3190000000002,303.15,274.575,470.321,688.291,20.0174,678.1,0.887,77.754,-222.22,52.329,2.168,0.201,7579.54,42.506,337.469,CC1(C)CC23C1CCCC2C3(C)C at 298K,,
20,CC1CC(C)(C)C2CC3C(C)C132,164.29200000000017,288.973,251.071,447.521,677.848,19.8226,612.91,0.913,70.023,-204.459,49.95,6.225,0.18,6959.961,42.363,337.241,CC1CC(C)(C)C2CC3C(C)C132 at 298K,,
21,CC1CC2C3CC4CCC3C1(C)C42,176.30300000000017,333.142,266.146,488.451,740.199,20.1789,622.4,1.025,118.759,-188.492,56.438,10.002,0.172,7371.438,41.811,336.762,CC1CC2C3CC4CCC3C1(C)C42 at 298K,,
22,CCCC1CC2CC2C(C)(C)C1C,180.3350000000002,348.794,247.002,496.619,694.165,18.9227,680.13,0.843,58.509,-274.896,55.937,11.649,0.214,7768.694,43.079,337.725,CCCC1CC2CC2C(C)(C)C1C at 298K,,
23,CC1C2CC(C2)C2CC3CC1C3C2,176.30300000000017,367.958,267.288,509.397,761.823,22.0314,602.67,1.031,133.163,-192.094,58.084,12.898,0.171,7367.836,41.791,336.681,CC1C2CC(C2)C2CC3CC1C3C2 at 298K,,
24,CC(C)C1CC1C1CC1(C)C(C)C,180.3350000000002,335.342,258.838,472.367,699.332,16.9037,675.49,0.897,62.073,-268.145,56.009,12.582,0.201,7775.445,43.117,337.874,CC(C)C1CC1C1CC1(C)C(C)C at 298K,,
25,CC1(C)CC12CC(C1CCCC1)C2,178.3190000000002,310.985,280.656,480.083,714.548,20.2151,647.83,0.924,109.737,-197.313,56.62,6.221,0.193,7604.447,42.645,338.02,CC1(C)CC12CC(C1CCCC1)C2 at 298K,,
26,CC1CC2CCC3CC(C)C3(C)C12,178.3190000000002,326.208,261.555,492.589,713.571,20.2877,638.82,0.934,93.672,-227.751,55.562,10.124,0.191,7574.009,42.474,337.342,CC1CC2CCC3CC(C)C3(C)C12 at 298K,,
27,CCC1C(C(C)C)C2C1C1CC12C,178.3190000000002,344.299,250.182,478.579,713.388,17.1414,661.96,0.98,76.086,-233.866,56.479,14.673,0.182,7567.894,42.44,337.207,CCC1C(C(C)C)C2C1C1CC12C at 298K,,
