index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,42.47659491,0.567440178
0,CC(C)C1CC2C(C)C3CC2C3C1,178.3190000000002,368.795,258.618,502.612,736.596,19.6826,630.79,0.985,97.101,-235.499,57.55,16.161,0.181,7566.261,42.431,337.171,CC(C)C1CC2C(C)C3CC2C3C1 at 298K,,
1,CCC12CC3CCC1CCC2C3C,178.3190000000002,326.987,250.914,498.578,720.554,20.545,633.85,0.964,118.972,-205.754,58.383,12.673,0.185,7596.006,42.598,337.834,CCC12CC3CCC1CCC2C3C at 298K,,
2,CCC(C)CC1CC2C3CC1CC23,178.3190000000002,360.384,240.427,497.727,740.233,19.5614,647.66,0.939,108.669,-224.223,59.216,15.125,0.19,7577.537,42.494,337.421,CCC(C)CC1CC2C3CC1CC23 at 298K,,
3,CC1CCC23CC2(CC2(CC2)C1)C3,176.30300000000017,246.823,276.045,451.094,694.074,20.5636,638.68,1.037,142.68,-128.203,56.736,7.68,0.17,7431.727,42.153,338.136,CC1CCC23CC2(CC2(CC2)C1)C3 at 298K,,
4,CC(C)C1C2C3CCCCC3(C)C12,178.3190000000002,340.162,263.096,488.756,717.747,19.4073,645.54,0.985,97.931,-219.954,56.819,12.762,0.181,7581.806,42.518,337.517,CC(C)C1C2C3CCCCC3(C)C12 at 298K,,
5,CCCCC12CCCC13C1CC13C2,176.30300000000017,249.302,255.832,448.589,703.468,18.268,662.33,1.049,148.16,-122.267,59.859,12.383,0.168,7437.663,42.187,338.273,CCCCC12CCCC13C1CC13C2 at 298K,,
6,CCCC12CCC3CC(C)(C1)C32,164.29200000000017,284.618,243.058,459.862,692.768,20.6195,613.16,0.961,109.435,-168.717,54.223,9.927,0.171,6995.703,42.581,338.108,CCCC12CCC3CC(C)(C1)C32 at 298K,,
7,CCC1CCCC12C(C)C2C(C)C,180.3350000000002,328.511,246.118,482.885,678.832,17.9458,670.14,0.911,68.575,-253.463,57.13,15.952,0.198,7790.127,43.198,338.192,CCC1CCCC12C(C)C2C(C)C at 298K,,
8,CCC1(C)C2CC3C4CC2(C)C31C4,176.30300000000017,274.161,263.639,458.175,710.453,18.2991,658.43,1.031,115.25,-165.19,54.973,6.759,0.171,7394.74,41.943,337.293,CCC1(C)C2CC3C4CC2(C)C31C4 at 298K,,
9,CCC12CCC3CC(CC1)C21CC31,176.30300000000017,295.188,260.77,477.034,726.68,20.1789,629.69,1.062,147.231,-146.181,58.645,10.812,0.166,7413.749,42.051,337.727,CCC12CCC3CC(CC1)C21CC31 at 298K,,
10,CC1(C)CC2CC2CC2CC2C1,164.29200000000017,340.073,257.87,483.221,715.859,23.2773,590.7,0.923,97.319,-200.885,52.393,6.958,0.178,6963.535,42.385,337.329,CC1(C)CC2CC2CC2CC2C1 at 298K,,
11,CC(C)C1C2C(C)C3CC2C1C3C,178.3190000000002,357.676,247.292,490.874,724.382,17.8553,635.01,0.985,81.868,-244.495,57.135,16.664,0.181,7557.265,42.381,336.972,CC(C)C1C2C(C)C3CC2C1C3C at 298K,,
12,CC(C)C1CC23CCC1C2CC3C,178.3190000000002,325.126,258.393,481.05,708.707,18.8899,642.28,0.991,100.274,-212.237,57.433,14.422,0.18,7589.523,42.561,337.687,CC(C)C1CC23CCC1C2CC3C at 298K,,
13,CCC12CC3CCC(C1)C2(CC)C3,178.3190000000002,297.886,243.838,487.634,708.288,19.6653,649.37,0.98,129.867,-183.104,59.062,12.326,0.182,7618.656,42.725,338.337,CCC12CC3CCC(C1)C2(CC)C3 at 298K,,
14,CC1CCCC2(C)C3C4C1C4C32C,176.30300000000017,308.198,274.494,475.332,729.253,19.6479,643.67,1.007,104.354,-190.789,53.796,7.105,0.175,7369.141,41.798,336.709,CC1CCCC2(C)C3C4C1C4C32C at 298K,,
15,CCC1C(C)CCC2CC1C1CC21,178.3190000000002,366.408,250.448,506.851,733.714,20.2332,629.76,0.949,101.465,-230.371,58.279,14.428,0.188,7571.389,42.46,337.286,CCC1C(C)CCC2CC1C1CC21 at 298K,,
16,CCC1CC1C12CCCC(C)C1C2,178.3190000000002,322.739,250.209,485.676,705.342,19.4073,641.25,0.954,104.638,-207.109,58.162,12.688,0.187,7594.651,42.59,337.802,CCC1CC1C12CCCC(C)C1C2 at 298K,,
17,CCC1CC2CC3CC1(C3)CC2C,178.3190000000002,337.547,265.675,499.099,726.489,21.2102,643.55,0.939,104.636,-215.955,56.667,12.688,0.19,7585.805,42.541,337.608,CCC1CC2CC3CC1(C3)CC2C at 298K,,
18,CCC1CC2CC3C(C(C)C)C2C13,178.3190000000002,379.115,251.458,500.351,738.226,18.583,642.23,0.991,90.49,-237.467,58.124,17.569,0.18,7564.293,42.42,337.127,CCC1CC2CC3C(C(C)C)C2C13 at 298K,,
19,CCCC1CC(C)C2C(CC)C12C,180.3350000000002,336.337,236.287,487.873,686.012,17.4275,688.31,0.863,54.241,-269.146,56.748,14.716,0.209,7774.444,43.111,337.851,CCCC1CC(C)C2C(CC)C12C at 298K,,
20,CC1CC2C(C)C1CCC1CC12C,178.3190000000002,331.144,266.499,497.02,720.579,20.9022,639.59,0.929,93.671,-230.7,55.063,10.124,0.192,7571.06,42.458,337.278,CC1CC2C(C)C1CCC1CC12C at 298K,,
21,CC1CC2C3C4C(CC25CC15)C34C,174.28700000000015,295.16,269.812,457.48,740.38,18.4877,623.22,1.132,131.784,-140.864,55.786,8.643,0.154,7177.236,41.181,336.35,CC1CC2C3C4C(CC25CC15)C34C at 298K,,
22,CCC1C23CCC2C1(C)C(C)C3,164.29200000000017,292.571,257.765,456.582,693.455,20.7131,617.64,0.933,80.987,-192.663,50.678,8.79,0.176,6971.757,42.435,337.528,CCC1C23CCC2C1(C)C(C)C3 at 298K,,
23,CCC1C2CCC(C)(C)C23CCC13,178.3190000000002,320.572,262.007,479.245,701.881,19.4243,665.78,0.919,87.89,-217.123,55.284,8.132,0.194,7584.637,42.534,337.58,CCC1C2CCC(C)(C)C23CCC13 at 298K,,
24,CCCC1C2CCC2(C)C1(C)CC,180.3350000000002,319.693,239.726,485.585,679.905,18.1442,695.66,0.859,69.404,-252.246,56.615,11.302,0.21,7791.344,43.205,338.219,CCCC1C2CCC2(C)C1(C)CC at 298K,,
25,CCC1(C)C2C3CC3(C)C23C2CC213,174.28700000000015,243.921,265.25,421.371,710.666,16.8347,659.25,1.117,128.275,-117.561,54.699,5.4,0.156,7200.539,41.314,336.892,CCC1(C)C2C3CC3(C)C23C2CC213 at 298K,,
26,CC(C)CC1C2CCCC3C(C2)C13,178.3190000000002,364.142,247.002,501.916,740.644,20.6568,639.13,0.939,109.412,-227.172,58.073,13.886,0.19,7574.588,42.478,337.358,CC(C)CC1C2CCCC3C(C2)C13 at 298K,,
27,CCCC1CC2(C)CC(CC)C1C2,180.3350000000002,342.52,242.86,495.371,693.16,18.647,683.33,0.867,69.475,-257.202,57.661,14.213,0.208,7786.388,43.177,338.109,CCCC1CC2(C)CC(CC)C1C2 at 298K,,
28,CCC12CCC1C1C3(C)CCC13C2,176.30300000000017,265.308,264.586,458.175,707.624,19.0877,650.19,1.043,132.826,-145.529,56.501,7.916,0.169,7414.401,42.055,337.743,CCC12CCC1C1C3(C)CCC13C2 at 298K,,
29,CCC12CC1C1CC1C1CCCC12,176.30300000000017,333.922,255.852,494.541,746.245,20.4342,617.43,1.056,144.059,-166.495,59.26,12.551,0.167,7393.435,41.936,337.265,CCC12CC1C1CC1C1CCCC12 at 298K,,
30,CCC12C(C)C1C(C)CCC21CC1,178.3190000000002,282.071,250.016,473.42,690.859,18.9063,651.08,0.959,106.91,-197.384,56.854,11.437,0.186,7604.376,42.645,338.02,CCC12C(C)C1C(C)CCC21CC1 at 298K,,
31,CC1CCCC2C3CCCC(C1)C23,178.3190000000002,362.271,263.339,515.937,737.616,23.1658,613.34,0.949,123.311,-216.459,58.619,12.517,0.188,7585.301,42.538,337.596,CC1CCCC2C3CCCC(C1)C23 at 298K,,
32,CCC1(CC)C2CCC1C(C)(C)C2,180.3350000000002,322.582,240.239,498.113,690.004,19.4584,677.29,0.871,84.861,-249.742,56.42,9.632,0.207,7793.848,43.219,338.274,CCC1(CC)C2CCC1C(C)(C)C2 at 298K,,
33,CCC1CC2CCCC3CC12C3C,178.3190000000002,332.611,260.703,494.706,719.71,20.5822,642.78,0.943,104.637,-213.006,57.166,12.688,0.189,7588.754,42.557,337.671,CCC1CC2CCCC3CC12C3C at 298K,,
34,CC(C)C12CCCC3CCC1C2C3,178.3190000000002,323.361,263.27,490.437,719.832,21.4457,640.67,0.949,115.711,-210.975,56.696,10.476,0.188,7590.785,42.569,337.719,CC(C)C12CCCC3CCC1C2C3 at 298K,,
35,CCCCC1(C)CC1CC(C)C,168.3240000000002,316.765,194.577,468.928,651.171,18.8736,663.96,0.794,56.303,-261.569,55.244,14.432,0.212,7386.511,43.883,338.912,CCCCC1(C)CC1CC(C)C at 298K,,
36,CC1CCC2C(C)CC2C2(CC2)C1,178.3190000000002,317.355,262.516,492.589,710.791,21.2102,630.58,0.943,111.249,-208.09,57.09,11.281,0.189,7593.67,42.585,337.782,CC1CCC2C(C)CC2C2(CC2)C1 at 298K,,
37,CCCC1CC(C)C(C)(C(C)C)C1,182.35100000000023,332.831,237.179,491.14,659.215,18.7113,703.37,0.793,40.227,-309.323,55.281,12.627,0.23,7976.097,43.74,338.36,CCCC1CC(C)C(C)(C(C)C)C1 at 298K,,
38,CC1CCCC2CCC(CC2)C1,166.3080000000002,351.36,257.533,509.486,711.007,27.066,579.14,0.871,104.213,-224.083,54.311,11.133,0.191,7182.167,43.186,338.309,CC1CCCC2CCC(CC2)C1 at 298K,,
39,CCC1CC2CCCC1(C)C(C)C2,180.3350000000002,345.648,265.686,510.115,707.194,21.9492,663.23,0.859,77.207,-262.932,55.175,11.15,0.21,7780.658,43.146,337.988,CCC1CC2CCCC1(C)C(C)C2 at 298K,,
40,CC1CC2C(C)C(C3(C)CC3)C12,164.29200000000017,313.918,241.192,462.174,692.235,20.3608,591.65,0.928,84.428,-202.162,52.593,9.121,0.177,6962.258,42.377,337.297,CC1CC2C(C)C(C3(C)CC3)C12 at 298K,,
41,CC1CC(C)CC2CC(C1)CC2C,180.3350000000002,349.154,252.782,512.859,704.094,21.6049,634.74,0.867,82.989,-267.663,56.828,13.142,0.208,7775.927,43.119,337.882,CC1CC(C)CC2CC(C1)CC2C at 298K,,
42,CC(C)C(C)C1CC2C3CC3CC12,178.3190000000002,346.944,239.896,490.854,734.968,19.3055,633.77,0.964,113.051,-224.191,58.509,10.805,0.185,7577.569,42.494,337.421,CC(C)C(C)C1CC2C3CC3CC12 at 298K,,
43,CC1CCC(C)C23CCCCC2C13,178.3190000000002,317.355,262.516,492.589,710.791,21.2102,630.58,0.943,111.249,-208.09,57.09,11.281,0.189,7593.67,42.585,337.782,CC1CCC(C)C23CCCCC2C13 at 298K,,
44,CCC1(C)C2C3(C)C(C)CC3C21C,178.3190000000002,283.821,255.719,461.631,681.963,17.6468,683.08,0.919,72.586,-224.111,52.946,5.724,0.194,7577.649,42.495,337.425,CCC1(C)C2C3(C)C(C)CC3C21C at 298K,,
45,CCC1C2CC(C)C3(C)CCC123,164.29200000000017,282.699,247.046,445.994,676.748,19.527,616.11,0.944,80.988,-186.765,51.674,8.79,0.174,6977.655,42.471,337.671,CCC1C2CC(C)C3(C)CCC123 at 298K,,
46,CCC1C2CCC(C)(C)C(C)CC12,180.3350000000002,352.371,252.238,500.603,694.842,19.7699,669.94,0.847,59.631,-276.696,55.022,9.993,0.213,7766.894,43.069,337.686,CCC1C2CCC(C)(C)C(C)CC12 at 298K,,
