index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,337.4952515,0.572937682
0,CCC1CCC(C)C(C)C2CC2C1,180.3350000000002,359.473,245.317,510.691,706.041,20.3425,646.18,0.871,76.378,-269.63,57.403,14.55,0.207,7773.96,43.108,337.839,CCC1CCC(C)C(C)C2CC2C1 at 298K,,
1,CCCC12CCC13C(C1(C)CC1)C23,176.30300000000017,264.537,252.288,446.826,699.431,17.7804,659.61,1.031,131.705,-140.78,58.293,9.571,0.171,7419.15,42.082,337.851,CCCC12CCC13C(C1(C)CC1)C23 at 298K,,
2,CCC1CCC2(C3CC3)C(CC)C12,178.3190000000002,333.058,242.606,483.252,707.276,18.3304,652.69,0.954,98.027,-209.076,58.736,14.096,0.187,7592.684,42.579,337.759,CCC1CCC2(C3CC3)C(CC)C12 at 298K,,
3,CCC1CC2C3(C)CC4C3C(C)C142,176.30300000000017,298.546,258.514,459.5,715.628,17.5733,651.08,1.025,100.086,-182.09,55.484,10.173,0.172,7377.84,41.848,336.911,CCC1CC2C3(C)CC4C3C(C)C142 at 298K,,
4,CC1C2C3CC(C)(C3)CC3(CC3)C12,176.30300000000017,294.409,270.73,470.486,719.933,19.9285,634.66,1.025,121.931,-168.178,55.823,8.262,0.172,7391.752,41.926,337.225,CC1C2C3CC(C)(C3)CC3(CC3)C12 at 298K,,
5,CC1C2C3C4CCCC3C2C1(C)C4,176.30300000000017,333.142,266.146,488.451,740.199,20.1789,622.4,1.025,118.759,-188.492,56.438,10.002,0.172,7371.438,41.811,336.762,CC1C2C3C4CCCC3C2C1(C)C4 at 298K,,
6,CCC12C3C4CC(C31)C4(C)C2(C)C,176.30300000000017,283.014,262.686,458.175,713.238,17.5586,666.67,1.019,97.673,-184.852,53.444,5.602,0.173,7375.078,41.832,336.846,CCC12C3C4CC(C31)C4(C)C2(C)C at 298K,,
7,CC1CCCCCCC2CC2C1,166.3080000000002,346.424,252.265,505.277,703.612,26.1626,578.38,0.875,104.213,-221.134,54.81,11.133,0.19,7185.116,43.204,338.38,CC1CCCCCCC2CC2C1 at 298K,,
8,CC(C)C12CC3(C)C4CC1C3C42,162.27600000000015,279.137,254.199,431.836,709.887,19.3902,603.32,1.034,101.915,-160.368,50.67,6.959,0.157,6762.222,41.671,336.726,CC(C)C12CC3(C)C4CC1C3C42 at 298K,,
9,CCC12CC(C3CC31)C1CC1(C)C2,176.30300000000017,304.041,259.798,477.034,729.229,19.3224,637.93,1.043,129.654,-165.843,57.117,9.655,0.169,7394.087,41.94,337.281,CCC12CC(C3CC31)C1CC1(C)C2 at 298K,,
10,CCCC1CC1C12CCC1C1CC12,176.30300000000017,326.097,250.043,477.107,732.566,18.4877,635.03,1.043,128.603,-166.05,59.954,14.221,0.169,7393.88,41.938,337.273,CCCC1CC1C12CCC1C1CC12 at 298K,,
11,CCC1C2C3CCC(C)C12CC3C,178.3190000000002,321.492,249.547,482.573,706.26,18.631,647,0.943,89.403,-222.002,56.75,13.191,0.189,7579.758,42.507,337.473,CCC1C2C3CCC(C)C12CC3C at 298K,,
12,CC1CC2C(C)CC3C1CC(C)C23,178.3190000000002,349.905,251.742,501.969,726.295,19.9817,623.3,0.939,92.842,-240.348,56.792,13.523,0.19,7561.412,42.404,337.064,CC1CC2C(C)CC3C1CC(C)C23 at 298K,,
13,CC1CC12CC1C3C4C5C(C34C)C152,172.27100000000013,257.179,273.386,422.008,740.562,17.0009,624.04,1.257,144.809,-93.235,55.134,7.285,0.137,6983.035,40.535,335.911,CC1CC12CC1C3C4C5C(C34C)C152 at 298K,,
14,CC1C(C2CC2)C2C(C)C3CC3C12,176.30300000000017,351.389,264.203,489.005,757.545,18.206,605.36,1.037,117.931,-195.191,58.666,13.401,0.17,7364.739,41.773,336.609,CC1C(C2CC2)C2C(C)C3CC3C12 at 298K,,
15,CC1CC2C3C4C3(C)C(C1)C41CC21,174.28700000000015,300.096,274.483,462.588,746.442,19.0214,623.99,1.124,131.784,-143.812,55.288,8.643,0.155,7174.288,41.164,336.28,CC1CC2C3C4C3(C)C(C1)C41CC21 at 298K,,
16,CCCCC12CC3CC3C1C2(C)C,178.3190000000002,312.732,247.31,479.499,708.994,18.2991,677.99,0.924,99.981,-209.219,57.833,11.428,0.193,7592.541,42.578,337.755,CCCCC12CC3CC3C1C2(C)C at 298K,,
17,CCCC1C(C)CC2C3C4CC4C123,176.30300000000017,324.85,249.38,473.892,733.357,17.7655,640.77,1.031,113.369,-180.943,58.542,14.725,0.171,7378.987,41.854,336.935,CCCC1C(C)CC2C3C4CC4C123 at 298K,,
18,CC1C2(C)CC3CC4CC1(C4)C32,162.27600000000015,279.313,259.245,443.858,706.941,20.6008,588.26,1.04,112.687,-145.538,51.977,7.26,0.156,6777.052,41.763,337.097,CC1C2(C)CC3CC4CC1(C4)C32 at 298K,,
19,CCC1C2C3(C)CC(C)C34CCC124,176.30300000000017,259.813,263.344,439.18,692.231,17.3697,663.34,1.025,103.258,-161.776,54.868,8.434,0.172,7398.154,41.963,337.373,CCC1C2C3(C)CC(C)C34CCC124 at 298K,,
20,CC1CC2CCCC23C2(C)CC123,162.27600000000015,240.58,264.05,422.134,682.316,20.3425,600.51,1.04,115.859,-125.224,51.362,5.521,0.156,6797.366,41.888,337.602,CC1CC2CCCC23C2(C)CC123 at 298K,,
21,CCC12CCC34CC3C(C1)C2(C)C4,176.30300000000017,265.308,264.586,458.175,707.624,19.0877,650.19,1.043,132.826,-145.529,56.501,7.916,0.169,7414.401,42.055,337.743,CCC12CCC34CC3C(C1)C2(C)C4 at 298K,,
22,CC1CCC2(C)CCC(C)C2(C)C1,180.3350000000002,295.576,266.297,487.068,665.994,20.7131,670.75,0.855,69.414,-254.414,53.454,6.846,0.211,7789.176,43.193,338.172,CC1CCC2(C)CCC(C)C2(C)C1 at 298K,,
23,CC1C2CCC2C2(C)CCCC12,164.29200000000017,317.295,255.295,476.491,706.722,22.5986,587.44,0.944,99.662,-193.167,52.629,8.618,0.174,6971.253,42.432,337.516,CC1C2CCC2C2(C)CCCC12 at 298K,,
24,CCC1C2CC3(C)C4CC1C3C2C4,176.30300000000017,343.462,259.36,486.055,741.796,19.0379,633.84,1.025,112.148,-190.46,57.013,11.409,0.172,7369.47,41.8,336.718,CCC1C2CC3(C)C4CC1C3C2C4 at 298K,,
25,CCC12CC1CC1CC(C)(C)C12,164.29200000000017,304.789,244.94,463.272,696.506,20.6381,611.21,0.939,92.98,-190.179,52.157,7.115,0.175,6974.241,42.45,337.587,CCC12CC1CC1CC(C)(C)C12 at 298K,,
26,CC1CC2C3C4C35CCC5C14C2C,174.28700000000015,285.06,270.145,453.995,738.752,18.5194,620.73,1.132,134.126,-136.095,55.903,10.303,0.154,7182.005,41.208,336.46,CC1CC2C3C4C35CCC5C14C2C at 298K,,
27,CC1CCCC2C(C1)CC1CC12,164.29200000000017,347.175,251.221,494.036,725.868,24.0106,566.94,0.955,114.066,-193.819,54.773,11.514,0.172,6970.601,42.428,337.5,CC1CCCC2C(C1)CC1CC12 at 298K,,
28,CCC1CC2CC3(C)C4C2C4C13C,176.30300000000017,318.518,268.1,472.802,730.949,18.5511,655.11,1.013,97.743,-192.757,54.37,8.513,0.174,7367.173,41.787,336.665,CCC1CC2CC3(C)C4C2C4C13C at 298K,,
