index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,249.4585655,16.19421945
0,CC1CC2CC3C(C)C1C2C3C,164.29200000000017,339.745,244.341,483.404,720.765,21.2883,577.66,0.939,83.597,-220.657,52.448,12.521,0.175,6943.763,42.265,336.851,CC1CC2CC3C(C)C1C2C3C at 298K,,
1,CCC1CC1C(C)C1CC2CC1C2,178.3190000000002,374.92,241.998,494.068,725.541,17.8403,629.98,1.049,109.385,-201.708,62.101,20.354,0.17,7600.052,42.621,337.925,CCC1CC1C(C)C1CC2CC1C2 at 298K,,
2,CCC1CCC1C(C)C1(C)CC1,166.3080000000002,328.986,230.152,464.603,671.486,19.8226,618.88,0.894,76.086,-216.414,54.876,12.632,0.186,7189.836,43.232,338.489,CCC1CCC1C(C)C1(C)CC1 at 298K,,
3,CCCCC1CCC2CCC2C1,166.3080000000002,349.591,233.511,495.087,704.288,22.239,610.2,0.875,95.359,-219.502,57.214,15.852,0.19,7186.748,43.213,338.415,CCCCC1CCC2CCC2C1 at 298K,,
4,CCCC1CC23CCCCC(C2)C13,178.3190000000002,330.281,256.406,493.627,718.265,20.5265,647.23,0.949,118.75,-196.313,59.492,13.841,0.188,7605.447,42.651,338.044,CCCC1CC23CCCCC(C2)C13 at 298K,,
5,CC1CCCC2(C)CC3C(C)C1C32,178.3190000000002,326.208,261.555,492.589,713.571,20.2877,638.82,0.934,93.672,-227.751,55.562,10.124,0.191,7574.009,42.474,337.342,CC1CCCC2(C)CC3C(C)C1C32 at 298K,,
6,CC(C)C1CC2C13C1CC1(C)C23C,176.30300000000017,272.3,270.499,437.36,697.905,16.9037,666.86,1.062,96.552,-171.673,54.023,8.507,0.166,7388.257,41.907,337.148,CC(C)C1CC2C13C1CC1(C)C23C at 298K,,
7,CCC1C2CCC3C(C)C(C2)C13,164.29200000000017,356.248,242.979,488.667,728.409,21.565,584.13,0.95,92.22,-210.68,53.935,13.425,0.173,6953.74,42.325,337.09,CCC1C2CCC3C(C)C(C2)C13 at 298K,,
8,CC1C2CC3C(CC4(C)CCC34)C12,176.30300000000017,333.142,266.146,488.451,740.199,20.1789,622.4,1.025,118.759,-188.492,56.438,10.002,0.172,7371.438,41.811,336.762,CC1C2CC3C(CC4(C)CCC34)C12 at 298K,,
9,CC(C)(C1CC1)C1C2CCCCC21,178.3190000000002,337.033,280.536,487.567,747.168,20.545,621.35,0.901,133.248,-206.777,62.59,10.545,0.198,7594.983,42.592,337.81,CC(C)(C1CC1)C1C2CCCCC21 at 298K,,
