index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note,1.00021714,0.088137732
0,CC(C)C1CCC2CC2C12CC2C,178.3190000000002,325.126,258.393,481.05,708.707,18.8899,642.28,0.991,100.274,-212.237,57.433,14.422,0.18,7589.523,42.561,337.687,CC(C)C1CCC2CC2C12CC2C at 298K,,
1,CC1CC23CCCCC2CCC1C3,178.3190000000002,323.538,268.012,499.946,717.043,22.8578,625.6,0.949,126.483,-196.145,58.003,10.778,0.188,7605.615,42.652,338.048,CC1CC23CCCCC2CCC1C3 at 298K,,
2,CCC1CC(C)C2CC3CCC1C32,178.3190000000002,366.408,250.448,506.851,733.714,20.2332,629.76,0.949,101.465,-230.371,58.279,14.428,0.188,7571.389,42.46,337.286,CCC1CC(C)C2CC3CCC1C32 at 298K,,
3,CC(C)(C)C12CC1CC1(C)CC12C,178.3190000000002,251.837,275.566,441.201,673.769,18.583,685.22,0.924,86.308,-214.078,51.062,3.455,0.193,7587.682,42.551,337.648,CC(C)(C)C12CC1CC1(C)CC12C at 298K,,
4,CC1(C)CC2CCC3C(C2)C2CC321,176.30300000000017,309.445,275.051,478.527,728.444,20.4895,637.92,1.019,119.589,-175.896,55.208,6.602,0.173,7384.034,41.883,337.052,CC1(C)CC2CCC3C(C2)C2CC321 at 298K,,
5,CCC1CCC2C3C4CCC4C1C23,176.30300000000017,373.342,255.402,502.95,757.724,20.1249,613.35,1.043,126.552,-191.112,59.156,14.306,0.169,7368.818,41.796,336.701,CCC1CCC2C3C4CCC4C1C23 at 298K,,
6,CCC12CCC3CC3C1(C1CC1)C2,176.30300000000017,290.252,255.622,472.222,719.908,19.596,628.92,1.062,147.232,-143.232,59.143,10.812,0.166,7416.698,42.068,337.795,CCC12CCC3CC3C1(C1CC1)C2 at 298K,,
7,CC(C)C1CCC2CCC3CC23C1,178.3190000000002,331.309,264.046,488.756,715.03,20.2695,637.3,0.996,115.508,-200.292,58.347,13.919,0.179,7601.468,42.628,337.953,CC(C)C1CCC2CCC3CC23C1 at 298K,,
8,CC1CCC2CCC2C12CCC2C,178.3190000000002,317.355,262.516,492.589,710.791,21.2102,630.58,0.943,111.249,-208.09,57.09,11.281,0.189,7593.67,42.585,337.782,CC1CCC2CCC2C12CCC2C at 298K,,
9,CCC12CCC3CC3C3CC1C3C2,176.30300000000017,333.922,255.852,494.541,746.245,20.4342,617.43,1.056,144.059,-166.495,59.26,12.551,0.167,7393.435,41.936,337.265,CCC12CCC3CC3C3CC1C3C2 at 298K,,
10,CC12CC3CCC4CCC(C3C1)C42,176.30300000000017,339.325,271.507,495.932,745.53,21.7054,617.43,1.031,133.993,-176.548,57.352,9.498,0.171,7383.382,41.879,337.036,CC12CC3CCC4CCC(C3C1)C42 at 298K,,
11,CC1CC2C3C4CCC4CCC23C1,176.30300000000017,324.289,267.076,488.451,737.8,21.0939,614.16,1.037,136.336,-168.831,57.967,11.159,0.17,7391.099,41.923,337.213,CC1CC2C3C4CCC4CCC23C1 at 298K,,
12,C1CC2CCC3CCC4C3C4C2C1,176.30300000000017,369.205,267.874,512.18,761.147,23.033,596.93,1.043,148.398,-177.2,59.496,12.395,0.169,7382.73,41.875,337.019,C1CC2CCC3CCC4C3C4C2C1 at 298K,,
13,CC1CCCC2CCCCCCC12,180.3350000000002,361.52,264.299,526.235,716.837,25.2026,624.78,0.875,113.458,-243.774,58.655,12.136,0.206,7799.816,43.252,338.403,CC1CCCC2CCCCCCC12 at 298K,,
14,CCC12C3CCC1(C)C2CCC3C,178.3190000000002,297.107,254.996,481.367,700.807,19.4243,654.35,0.954,104.567,-205.101,56.24,9.777,0.187,7596.659,42.602,337.85,CCC12C3CCC1(C)C2CCC3C at 298K,,
15,CCC1C23CCC14CC(C(C)C2)C34,176.30300000000017,294.629,264.508,464.567,719.913,18.8409,643.6,1.031,117.662,-165.378,56.513,11.33,0.171,7394.552,41.942,337.289,CCC1C23CCC14CC(C(C)C2)C34 at 298K,,
16,CC12CC3CC4CC3CC1C1CC412,174.28700000000015,301.343,275.04,465.953,745.707,19.8226,618.24,1.139,147.018,-128.919,56.7,8.14,0.153,7189.181,41.249,336.627,CC12CC3CC4CC3CC1C1CC412 at 298K,,
17,CC1(C)C2CCC1C2CC1CCC1,178.3190000000002,345.225,244.1,491.903,716.399,20.0174,646.82,0.924,101.432,-211.192,57.466,9.646,0.193,7590.568,42.567,337.711,CC1(C)C2CCC1C2CC1CCC1 at 298K,,
18,CCC1CC(C)C2C3CCCC1C32,178.3190000000002,366.408,250.448,506.851,733.714,20.2332,629.76,0.949,101.465,-230.371,58.279,14.428,0.188,7571.389,42.46,337.286,CCC1CC(C)C2C3CCCC1C32 at 298K,,
19,CC(C)C12CC3C4C5CCCC31C542,174.28700000000015,247.398,270.653,424.61,720.238,17.9761,642.3,1.147,141.761,-115.718,55.392,7.76,0.152,7202.382,41.325,336.937,CC(C)C12CC3C4C5CCCC31C542 at 298K,,
20,CCC1(C)CCCC(C2CC2)CC1,180.3350000000002,343.563,262.252,507.152,715.187,20.8452,647.02,0.875,106.777,-234.888,59.18,10.632,0.206,7808.702,43.301,338.594,CCC1(C)CCCC(C2CC2)CC1 at 298K,,
21,CCC1C(C)CC1C1(C)CCCC1,180.3350000000002,338.582,247.833,496.237,683.517,20.0531,660.93,0.859,77.208,-254.085,57.049,11.15,0.21,7789.505,43.195,338.18,CCC1C(C)CC1C1(C)CCCC1 at 298K,,
22,CCCC12CC3CC3CCCC1C2,178.3190000000002,329.594,251.796,501.859,725.916,21.1132,639.06,0.964,133.084,-192.01,60.212,13.825,0.185,7609.75,42.675,338.139,CCCC12CC3CC3CCCC1C2 at 298K,,
23,CC1CC2(C3CC3)C(C1C)C2(C)C,178.3190000000002,299.133,258.141,468.895,684.823,18.647,658.55,0.914,79.268,-224.15,54.294,7.227,0.195,7577.61,42.495,337.425,CC1CC2(C3CC3)C(C1C)C2(C)C at 298K,,
24,CC1CCC23C4CCC(C4)C2CC13,176.30300000000017,324.289,267.076,488.451,737.8,21.0939,614.16,1.037,136.336,-168.831,57.967,11.159,0.17,7391.099,41.923,337.213,CC1CCC23C4CCC(C4)C2CC13 at 298K,,
